,NOUN,CLASS
0,banana,fruitTree-vegetable-natural
1,cherry,fruitTree-vegetable-natural
2,pear,fruitTree-vegetable-natural
3,pineapple,fruitTree-vegetable-natural
4,bottle,tool-artifact-artifact
5,bowl,tool-artifact-artifact
6,chisel,tool-artifact-artifact
7,cup,tool-artifact-artifact
8,hammer,tool-artifact-artifact
9,kettle,tool-artifact-artifact
10,knife,tool-artifact-artifact
11,pencil,tool-artifact-artifact
12,pen,tool-artifact-artifact
13,scissors,tool-artifact-artifact
14,screwdriver,tool-artifact-artifact
15,spoon,tool-artifact-artifact
16,telephone,tool-artifact-artifact
17,boat,vehicle-artifact-artifact
18,motorcycle,vehicle-artifact-artifact
19,car,vehicle-artifact-artifact
20,helicopter,vehicle-artifact-artifact
21,rocket,vehicle-artifact-artifact
22,ship,vehicle-artifact-artifact
23,truck,vehicle-artifact-artifact
24,cat,groundAnimal-animal-natural
25,cow,groundAnimal-animal-natural
26,dog,groundAnimal-animal-natural
27,elephant,groundAnimal-animal-natural
28,lion,groundAnimal-animal-natural
29,pig,groundAnimal-animal-natural
30,snail,groundAnimal-animal-natural
31,turtle,groundAnimal-animal-natural
32,chicken,bird-animal-natural
33,duck,bird-animal-natural
34,eagle,bird-animal-natural
35,owl,bird-animal-natural
36,peacock,bird-animal-natural
37,penguin,bird-animal-natural
38,swan,bird-animal-natural
39,corn,green-vegetable-natural
40,lettuce,green-vegetable-natural
41,mushroom,green-vegetable-natural
42,onion,green-vegetable-natural
43,potato,green-vegetable-natural
